forward_bids,deviations,hydrogen_productions,up,dw,missing_productions,objectives
10.0,-9.46078431372549,10.0,19.46078431372549,0.0,0.0,38.75343137254902
10.0,-9.166666666666668,10.0,19.166666666666668,0.0,0.0,50.14166666666654
10.0,-8.431372549019608,10.0,18.431372549019606,0.0,0.0,82.1960784313726
-9.019607843137255,10.0,10.0,0.0,0.0,0.0,61.65882352941179
10.0,-8.431372549019608,10.0,18.431372549019606,0.0,0.0,72.58431372549023
-9.166666666666666,10.0,10.0,0.0,0.0,0.0,25.850000000000023
-8.92156862745098,10.0,10.0,0.0,0.0,0.0,29.752941176470586
10.0,-8.872549019607844,0.0,8.872549019607844,0.0,0.0,42.3696078431372
2.745098039215686,0.0,0.0,0.0,0.0,0.0,105.82352941176468
3.5294117647058822,0.0,0.0,0.0,0.0,0.0,141.1764705882353
2.205882352941176,0.0,0.0,0.0,0.0,0.0,88.23529411764704
10.0,-7.69607843137255,0.0,7.69607843137255,0.0,0.0,92.54852941176472
10.0,-7.9411764705882355,0.0,7.9411764705882355,0.0,0.0,82.66176470588238
10.0,-8.382352941176471,0.0,8.382352941176471,0.0,0.0,65.36911764705883
10.0,-8.186274509803923,0.0,8.186274509803923,0.0,0.0,76.26715686274508
1.3235294117647058,0.0,0.0,0.0,0.0,0.0,59.73088235294118
0.8823529411764699,0.0,0.0,0.0,0.0,0.0,41.05588235294115
1.029411764705882,0.0,0.0,0.0,0.0,0.0,50.83235294117646
10.0,-9.166666666666668,0.0,9.166666666666668,0.0,0.0,37.39999999999992
10.0,-9.019607843137255,0.0,9.019607843137255,0.0,0.0,43.127450980392155
1.5686274509803921,0.0,0.0,0.0,0.0,0.0,61.992156862745105
10.0,-7.745098039215687,10.0,17.745098039215687,0.0,0.0,67.9872549019608
-7.892156862745098,10.0,10.0,0.0,0.0,0.0,69.8553921568627
10.0,-8.872549019607844,10.0,18.872549019607845,0.0,0.0,45.9857843137255
-9.411764705882353,10.0,10.0,0.0,0.0,0.0,36.89411764705886
-9.509803921568627,10.0,10.0,0.0,0.0,0.0,44.643137254901944
-9.607843137254902,10.0,10.0,0.0,0.0,0.0,53.38823529411769
10.0,-9.950980392156863,10.0,19.950980392156865,0.0,0.0,45.310784313725435
-9.901960784313726,10.0,10.0,0.0,0.0,0.0,49.693137254901956
-9.852941176470589,10.0,10.0,0.0,0.0,0.0,51.87941176470588
-9.950980392156863,10.0,10.0,0.0,0.0,0.0,37.54901960784309
10.0,-9.950980392156863,10.0,19.950980392156865,0.0,0.0,23.717156862745128
10.0,-10.0,10.0,20.0,0.0,0.0,5.899999999999977
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.0,10.0,10.0,0.0,0.0,0.0,1.5
-10.0,10.0,10.0,0.0,0.0,0.0,5.0
-10.0,10.0,10.0,0.0,0.0,0.0,5.899999999999977
-9.950980392156863,10.0,10.0,0.0,0.0,0.0,4.3127450980392155
0.39215686274509803,0.0,0.0,0.0,0.0,0.0,14.050980392156863
1.176470588235294,0.0,0.0,0.0,0.0,0.0,44.388235294117635
